iter	Passed	Remaining
530	20358	6479
531	20391	6439
532	20431	6401
533	20467	6362
534	20508	6324
535	20551	6288
536	20590	6249
537	20631	6212
538	20670	6174
539	20709	6136
540	20745	6097
541	20781	6058
542	20818	6019
543	20855	5980
544	20888	5940
545	20921	5901
546	20959	5862
547	20992	5822
548	21033	5785
549	21067	5745
550	21099	5705
551	21134	5666
552	21168	5627
553	21202	5587
554	21239	5549
555	21282	5511
556	21316	5472
557	21361	5436
558	21396	5397
559	21430	5357
560	21467	5318
561	21503	5280
562	21543	5242
563	21584	5204
564	21620	5166
565	21664	5129
566	21700	5090
567	21733	5050
568	21768	5011
569	21802	4972
570	21841	4934
571	21870	4894
572	21903	4854
573	21939	4815
574	21976	4777
575	22015	4739
576	22055	4701
577	22098	4664
578	22135	4625
579	22171	4587
580	22207	4548
581	22245	4510
582	22282	4471
583	22318	4433
584	22354	4394
585	22394	4356
586	22432	4318
587	22475	4281
588	22509	4242
589	22543	4202
590	22576	4163
591	22611	4125
592	22650	4087
593	22687	4048
594	22731	4011
595	22768	3972
596	22811	3935
597	22848	3897
598	22895	3860
599	22931	3821
600	22965	3783
601	23003	3744
602	23042	3706
603	23080	3668
604	23115	3629
605	23148	3590
606	23188	3552
607	23223	3514
608	23262	3475
609	23296	3437
610	23339	3399
611	23382	3362
612	23421	3324
613	23454	3285
614	23491	3246
615	23530	3208
616	23566	3170
617	23604	3132
618	23642	3093
619	23678	3055
620	23714	3016
621	23753	2978
622	23788	2940
623	23827	2902
624	23862	2863
625	23895	2824
626	23935	2786
627	23978	2749
628	24021	2711
629	24057	2673
630	24092	2634
631	24127	2595
632	24167	2557
633	24205	2519
634	24238	2481
635	24274	2442
636	24315	2404
637	24349	2366
638	24390	2328
639	24430	2290
640	24462	2251
641	24498	2213
642	24532	2174
643	24579	2137
644	24619	2099
645	24654	2060
646	24693	2022
647	24731	1984
648	24763	1945
649	24801	1907
650	24841	1869
651	24879	1831
652	24912	1793
653	24945	1754
654	24984	1716
655	25026	1678
656	25069	1640
657	25109	1602
658	25145	1564
659	25181	1526
660	25219	1487
661	25252	1449
662	25288	1411
663	25328	1373
664	25363	1334
665	25399	1296
666	25438	1258
667	25471	1220
668	25511	1182
669	25547	1143
670	25587	1105
671	25624	1067
672	25664	1029
673	25698	991
674	25743	953
675	25779	915
676	25817	877
677	25859	839
678	25901	801
679	25941	762
680	25978	724
681	26014	686
682	26050	648
683	26091	610
684	26123	572
685	26163	533
686	26200	495
687	26240	457
688	26275	419
689	26310	381
690	26343	343
691	26377	304
692	26418	266
693	26455	228
694	26490	190
695	26529	152
696	26571	114
697	26605	76
698	26643	38
699	26681	0
